PermitClass,PermitTypeDesc,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,StatusCurrent,OriginalAddress1,OriginalCity,OriginalZip
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"138,026",Reviews In Process,6202 29TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"105,000",Reviews In Process,3210 NW 58th ST,,
Single Family/Duplex,New,1,0,1,"140,000",Reviews In Process,11558 FREMONT AVE N,SEATTLE,98133
Commercial,Addition/Alteration,,,,"138,000",Issued,700 5TH AVE,SEATTLE,98104
Institutional,,0,0,0,"54,000,000",Reviews In Process,3200 23RD AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"173,103",Reviews In Process,5632 35TH AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,1,0,1,"90,463",Corrections Required,4544 13TH AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"6,000",Completed,3442 NW 62ND ST,SEATTLE,98107
Commercial,Addition/Alteration,0,0,0,"5,500",Issued,301 GALER ST,SEATTLE,98109
Multifamily,Addition/Alteration,0,0,0,"32,000",Issued,1903 NE 85TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"12,670",Reviews In Process,318 NW 88TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"75,000",Reviews In Process,4717 MERIDIAN AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"25,000",Reviews In Process,7339 39TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"350,000",Corrections Required,5622 NE 59TH ST,SEATTLE,98105
Commercial,Addition/Alteration,,,,"50,000",Reviews In Process,300 9TH AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,1,0,0,"30,000",Issued,4153 15TH AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,1,0,0,"259,683",Corrections Required,6915 ELLIS AVE S,SEATTLE,98108
Single Family/Duplex,New,1,1,3,"800,000",Reviews In Process,2920 NW 80TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,0,0,0,"146,000",Reviews In Process,1602 NE 137TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"75,000",Reviews In Process,1866 E SHELBY ST,SEATTLE,98112
Multifamily,Addition/Alteration,0,0,0,"3,300,000",Reviews In Process,823 MADISON ST,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,1,0,0,"38,792",Issued,7730 CORLISS AVE N,SEATTLE,98103
Single Family/Duplex,New,1,1,2,"333,984",Reviews In Process,10302 INTERLAKE AVE N,SEATTLE,98133
Multifamily,Demolition,,,,"600,000",Corrections Required,619 MALDEN AVE E,SEATTLE,98112
Commercial,Addition/Alteration,,,,"70,000",Awaiting Information,11524 15TH AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"556,529",Application Completed,1011 N 36TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"12,500",Issued,8057 20TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"5,000",Issued,918 N 71ST ST,SEATTLE,98103
Multifamily,Addition/Alteration,,,,"120,000",Issued,2501 CANTERBURY LN E,,
Commercial,Tenant Improvment,,,,"417,476",Corrections Required,701 N 34TH ST,SEATTLE,98103
Single Family/Duplex,New,,,,"32,101",Application Completed,2212 NE 125TH ST,SEATTLE,98125
Single Family/Duplex,New,,,,"12,000",Issued,6061 WELLESLEY WAY NE,SEATTLE,98115
Multifamily,Addition/Alteration,,,,"1,000",Awaiting Information,1810 15TH AVE,SEATTLE,98122
Institutional,,0,0,0,"54,000,000",Reviews In Process,3200 23RD AVE S,SEATTLE,98144
Single Family/Duplex,New,,,,"600,622",Reviews In Process,4011 SW THISTLE ST,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,1,0,0,"2,079",Issued,7011 21ST AVE NW,SEATTLE,98117
Single Family/Duplex,New,,,,"238,958",Application Completed,820 S ROSE ST,SEATTLE,98108
Single Family/Duplex,New,,,,"293,859",Application Completed,2216 NE 125TH ST,SEATTLE,98125
Single Family/Duplex,New,,,,"593,782",Application Completed,3625 WALLINGFORD AVE N,SEATTLE,98103
Commercial,Addition/Alteration,,,,"15,000",Corrections Required,4545 FAUNTLEROY WAY SW,SEATTLE,98126
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,925 4TH AVE,,
Single Family/Duplex,Addition/Alteration,,,,"10,000",Application Completed,4607 MERIDIAN AVE N,SEATTLE,98103
Institutional,Addition/Alteration,,,,"28,000",Issued,2401 24TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"111,076",Reviews In Process,11022 12TH AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,,,,"40,195",Issued,300 9TH AVE,SEATTLE,98104
Multifamily,Addition/Alteration,,,,"100,000",Reviews In Process,2407 NW 60TH ST,SEATTLE,98107
Single Family/Duplex,New,0,0,1,"520,603",Corrections Required,7750 CORLISS AVE N,SEATTLE,98103
Industrial,,,,,"100,000",Reviews In Process,2750 W COMMODORE WAY,SEATTLE,98199
Commercial,Addition/Alteration,0,0,0,"2,832,600",Corrections Required,900 N 34TH ST,SEATTLE,98103
Commercial,Tenant Improvment,,,,"85,000",Issued,500 FAIRVIEW AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"420,649",Reviews In Process,2925 S RAYMOND ST,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"10,000",Completed,106 NE 40th ST,,
Single Family/Duplex,Addition/Alteration,2,0,2,"216,347",Application Completed,8517 16TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"12,000",Issued,4720 SW EDMUNDS ST,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"58,628",Issued,1461 BROADMOOR DR E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"42,000",Issued,3203 NE 98TH ST,SEATTLE,98115
Multifamily,Addition/Alteration,0,0,0,"25,000",Issued,2301 CALIFORNIA AVE SW,SEATTLE,98116
Commercial,Demolition,,,,"5,000",Issued,6534 15TH AVE NE,SEATTLE,98115
Commercial,Addition/Alteration,,,,"175,000",Reviews In Process,3440 6TH AVE S,SEATTLE,98134
Multifamily,New,,,,"499,740",Ready for Intake,9016 18TH AVE SW,SEATTLE,98106
Multifamily,Addition/Alteration,2,0,1,"110,847",Reviews In Process,2800 E YESLER WAY,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,2307 42nd AVE E,,
Single Family/Duplex,New,,,,"20,000",Issued,4231 S SPENCER ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,5431 42ND AVE SW,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,1,0,0,"125,000",Issued,7711 31ST AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"29,017",Reviews In Process,712 N 120TH ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,1,0,0,"251,174",Issued,1551 PARKSIDE DR E,SEATTLE,98112
Single Family/Duplex,New,,,,"12,000",Issued,12518 NORTH PARK AVE N,SEATTLE,98133
Multifamily,New,,,,"59,676,202",Reviews In Process,225 BROADWAY,SEATTLE,98104
Commercial,Addition/Alteration,,,,"700,000",Application Completed,115 S JACKSON ST,SEATTLE,98104
Multifamily,New,,,,"461,395",Reviews In Process,9209 14TH AVE NW,SEATTLE,98117
Commercial,Addition/Alteration,,,,500,Reviews In Process,1420 5TH AVE,SEATTLE,98101
Single Family/Duplex,New,,,,"489,713",Reviews In Process,6002 30TH AVE NE,SEATTLE,98115
Multifamily,Addition/Alteration,5,0,1,"80,000",Reviews In Process,401 N 43RD ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,0,"1,000,000",Reviews In Process,2152 E SHELBY ST,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"20,000",Awaiting Information,10421 11TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,0,"115,000",Issued,8734 PAISLEY DR NE,SEATTLE,98115
Multifamily,New,,,,"52,684,379",Reviews In Process,615 Dexter AVE N,,
Single Family/Duplex,Addition/Alteration,,,,"20,000",Awaiting Information,5407 S LUCILE ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"150,000",Issued,414 16th AVE E,,
Single Family/Duplex,Addition/Alteration,,,,"17,700",Reviews In Process,244 40TH AVE E,SEATTLE,98112
Commercial,,,,,"14,000",Completed,12059 LAKE CITY WAY NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"80,280",Issued,2611 41ST AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"90,320",Reviews In Process,9017 LOYAL AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"21,000",Issued,4166 42ND AVE NE,SEATTLE,98105
Institutional,Addition/Alteration,0,0,0,"350,000",Reviews In Process,1058 E MERCER ST,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,,,,"4,125",Issued,12342 24TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,5647 41ST AVE SW,SEATTLE,98136
Multifamily,New,1,1,9,"945,025",Application Completed,7035 DELRIDGE WAY SW,SEATTLE,98106
Single Family/Duplex,,,,,"75,000",Issued,7740 38TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"15,000",Reviews In Process,11430 CORNELL AVE S,SEATTLE,98178
Single Family/Duplex,Addition/Alteration,,,,"150,000",Issued,2610 1ST AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"20,000",Awaiting Information,1500 E BOSTON ST,SEATTLE,98112
Commercial,Addition/Alteration,,,,"40,195",Issued,300 9TH AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,1,0,0,"97,500",Ready for Issuance,8649 21ST AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,0,"110,000",Issued,5311 SW ADMIRAL WAY,SEATTLE,98116
Commercial,Addition/Alteration,0,0,0,"55,000",Issued,601 N 34TH ST,SEATTLE,98103
Single Family/Duplex,New,0,0,3,"220,311",Reviews In Process,3546 A S MORGAN ST,SEATTLE,98118
Multifamily,Addition/Alteration,,,,"100,000",Reviews In Process,11045 8TH AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,,,,"30,000",Issued,568 1ST AVE S,SEATTLE,98104
Multifamily,New,4,4,18,"1,440,106",Application Completed,8313 12th AVE NW,,
Multifamily,New,1,1,8,"1,239,764",Application Completed,8333 12TH AVE NW,SEATTLE,98117
Industrial,Addition/Alteration,,,,1,Reviews In Process,2737 W COMMODORE WAY,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"100,000",Reviews In Process,6518 32ND AVE S,SEATTLE,98118
Multifamily,New,1,1,7,"724,478",Reviews In Process,7712 M L KING JR WAY S,SEATTLE,98118
Single Family/Duplex,New,1,0,1,"309,508",Reviews In Process,4019 1ST AVE NW,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,1,0,0,"27,500",Issued,3815 35TH AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Reviews In Process,6552 21ST AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,0,0,1,"300,000",Reviews In Process,3010 S KING ST,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Awaiting Information,3908 NE 103RD ST,,
Multifamily,New,,,,"399,870",Reviews In Process,922 N 88TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"1,000",Issued,2136 N 62ND ST,SEATTLE,98103
Single Family/Duplex,New,,,,"178,058",Reviews In Process,4412 39TH AVE SW,SEATTLE,98116
Industrial,,,,,"1,210,000",Application Completed,8101 1ST AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"8,699",Application Completed,1827 31ST AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"250,000",Application Completed,10208 CALIFORNIA AVE SW,SEATTLE,98146
Multifamily,Addition/Alteration,0,0,0,"225,000",Reviews In Process,6400 15TH AVE NW,SEATTLE,98107
Single Family/Duplex,,,,,"350,000",Application Completed,209 N 101ST ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"6,500",Issued,723 13TH AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,,,,"8,000",Issued,6515 earl AVE NW,,
Single Family/Duplex,Addition/Alteration,,,,"12,128",Issued,819 NW CULBERTSON DR,SEATTLE,98177
Single Family/Duplex,Addition/Alteration,1,0,0,"150,000",Issued,1611 10TH AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,352 WHEELER ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"27,000",Issued,5076 SW OLGA ST,,
Single Family/Duplex,New,1,1,1,"595,923",Reviews In Process,617 23rd AVE E,,
Single Family/Duplex,Demolition,1,0,0,"70,000",Reviews In Process,1902 NE 98TH ST,SEATTLE,98115
Multifamily,Addition/Alteration,,,,"45,000",Corrections Required,120 WESTLAKE AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"150,000",Issued,8230 CORLISS AVE N,SEATTLE,98103
Multifamily,New,0,0,236,"30,785,188",Reviews In Process,3665 STONE WAY N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"6,500",Issued,4710 48TH AVE SW,SEATTLE,98116
Commercial,Addition/Alteration,0,0,0,"5,000",Issued,1630 QUEEN ANNE AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"10,000",Awaiting Information,4819 NE 71ST ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"50,000",Issued,10216 37TH PL SW,SEATTLE,98146
Institutional,Addition/Alteration,,,,"15,000",Issued,4800 SAND POINT WAY NE,SEATTLE,98105
Commercial,Addition/Alteration,,,,"59,479",Issued,901 5TH AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"50,000",Issued,10229 RICHWOOD AVE NW,SEATTLE,98177
Multifamily,Addition/Alteration,,,,"1,000,000",Reviews In Process,1119 1ST AVE,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,1,0,0,"45,000",Issued,3857 CASCADIA AVE S,SEATTLE,98118
Multifamily,Addition/Alteration,,,,"366,506",Reviews In Process,2716 WESTERN AVE,SEATTLE,98121
Commercial,Addition/Alteration,,,,"9,750",Application Completed,8533 GREENWOOD AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,1,"134,401",Application Completed,3809 33RD AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"5,000",Application Completed,3233 16TH AVE S,SEATTLE,98144
Commercial,Addition/Alteration,,,,"200,000",Issued,300 9TH AVE,SEATTLE,98104
Multifamily,New,1,1,7,"479,553",Application Completed,7712 M L KING JR WAY S,SEATTLE,98118
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"121,993",Corrections Required,10739 DURLAND AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"441,050",Reviews In Process,1335 CALIFORNIA AVE SW,SEATTLE,98116
Commercial,Addition/Alteration,,,,"50,000",Issued,725 E PINE ST,SEATTLE,98122
Single Family/Duplex,New,0,0,2,"811,399",Application Completed,4300 W CRAMER ST,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,1,0,2,"62,072",Reviews In Process,3854 33RD AVE W,SEATTLE,98199
Single Family/Duplex,New,,,,"608,534",Reviews In Process,9434 OLSON PL SW,SEATTLE,98106
Single Family/Duplex,Demolition,,,,"25,000",Issued,510 N 75TH ST,SEATTLE,98103
Single Family/Duplex,New,,,,"205,013",Application Completed,2222 NE 125TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,1,"3,000",Issued,2655 37TH AVE W,SEATTLE,98199
Single Family/Duplex,,1,1,1,0,Issued,7721 16th AVE SW,,
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,3617 NW 61st ST,,
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,905 30TH AVE S,SEATTLE,98144
Commercial,Tenant Improvment,,,,"215,000",Issued,600 UNIVERSITY ST,SEATTLE,98101
Institutional,Addition/Alteration,0,0,0,"38,566",Issued,5600 S RYAN ST,SEATTLE,98178
Multifamily,New,,,,"358,893",Reviews In Process,9215 14TH AVE NW,SEATTLE,98117
Commercial,Change of Use Only - No Construction,,,,"1,000",Reviews In Process,901 FAIRVIEW AVE N,SEATTLE,98109
Industrial,Addition/Alteration,0,0,0,"350,000",Reviews In Process,4500 WEST MARGINAL WAY SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,,,,"55,000",Issued,7019 13TH AVE SW,SEATTLE,98106
Single Family/Duplex,New,,,,"167,763",Application Completed,1518 NW 63rd ST,,
Single Family/Duplex,New,1,1,3,"312,068",Reviews In Process,12038 5TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,11,0,0,"132,300",Issued,4325 SW 102ND ST,SEATTLE,98146
Multifamily,New,,,,"411,162",Application Completed,9209 14TH AVE NW,SEATTLE,98117
Multifamily,New,,,,"473,521",Reviews In Process,1027 STURGUS AVE S,SEATTLE,98144
Multifamily,Addition/Alteration,,,,"130,000",Reviews In Process,2226 ELLIOTT AVE,SEATTLE,98121
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,4424 NE 60TH ST,SEATTLE,98115
Commercial,Addition/Alteration,0,0,0,"358,580",Issued,300 9TH AVE,SEATTLE,98104
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"250,000",Reviews In Process,2112 1ST AVE,,
Single Family/Duplex,Addition/Alteration,1,0,0,"70,000",Issued,1200 NE 123RD ST,SEATTLE,98125
Commercial,Addition/Alteration,0,0,0,"75,000",Reviews In Process,1301 5TH AVE,SEATTLE,98101
Multifamily,Addition/Alteration,0,0,0,"45,000",Issued,7524 35TH AVE SW,SEATTLE,98126
Commercial,Tenant Improvment,,,,"175,000",Corrections Required,1424 4TH AVE,SEATTLE,98101
Multifamily,Addition/Alteration,,,,"25,000",Reviews In Process,4545 SAND POINT WAY NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"10,543",Issued,7309 16TH AVE NW,SEATTLE,98117
Commercial,Addition/Alteration,0,0,0,"37,894",Issued,1501 CALIFORNIA AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,1,0,0,"90,344",Application Completed,7537 31ST AVE NE,SEATTLE,98115
Commercial,Addition/Alteration,0,0,0,"172,885",Awaiting Information,50 UNIVERSITY ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"5,600",Ready for Issuance,116 SMITH ST,SEATTLE,98109
Commercial,Tenant Improvment,,,,"675,000",Ready for Issuance,1201 2nd AVE,,
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,1950 26TH AVE W,SEATTLE,98199
Multifamily,Addition/Alteration,,,,"30,000",Reviews In Process,7524 35TH AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,,,,"3,025",Issued,10052 MARY AVE NW,SEATTLE,98177
Single Family/Duplex,New,1,1,3,"609,780",Corrections Required,3417 29TH AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"155,000",Issued,1212 mcgilvra BLVD E,,
Single Family/Duplex,Addition/Alteration,,,,"38,404",Reviews In Process,4240 51ST AVE NE,SEATTLE,98105
Commercial,Demolition,,,,"5,000",Issued,6530 15TH AVE NE,SEATTLE,98115
Single Family/Duplex,Change of Use Only - No Construction,,,,0,Corrections Required,528 NE 120TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,1,"101,373",Corrections Required,2607 50TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"25,000",Issued,5350 SW MANNING ST,,
Multifamily,New,,,,"4,950,000",Application Completed,1022 NE 68TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,0,0,0,"30,672",Issued,3808 47TH AVE SW,SEATTLE,98116
Single Family/Duplex,New,,,,"576,061",Reviews In Process,10344 WALLINGFORD AVE N,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"25,000",Issued,3926 SW SOUTHERN ST,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,,,,"8,000",Issued,2518 E MILLER ST,SEATTLE,98112
Commercial,Tenant Improvment,,,,"104,000",Completed,1001 WESTERN AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"6,500",Completed,6245 25TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,0,0,0,"100,000",Reviews In Process,11006 24TH AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"569,197",Reviews In Process,1047 NE 89TH ST,SEATTLE,98115
Single Family/Duplex,New,,,,"494,496",Application Completed,343 NW 90TH ST,SEATTLE,98117
Multifamily,New,3,3,6,"511,003",Reviews In Process,1223 TAYLOR AVE N,SEATTLE,98109
Single Family/Duplex,New,1,1,3,"565,680",Reviews In Process,3116 W RAYE ST,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Reviews In Process,1325 SUNSET AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"23,000",Issued,2310 41ST AVE E,SEATTLE,98112
Single Family/Duplex,New,0,0,6,"289,593",Application Completed,12554 35TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"1,000",Issued,2846 NW 65TH ST,SEATTLE,98117
Single Family/Duplex,New,,,,"588,447",Reviews In Process,11826 31ST AVE NE,,
Multifamily,New,,,,"9,900,000",Application Completed,1022 NE 68TH ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"35,894",Corrections Required,3121 E MADISON ST,SEATTLE,
Single Family/Duplex,Addition/Alteration,1,0,0,"20,000",Corrections Required,7004 EARL AVE NW,SEATTLE,98117
Multifamily,New,2,2,14,"1,782,994",Application Completed,8415 DELRIDGE WAY SW,,
Single Family/Duplex,Addition/Alteration,1,0,0,"110,000",Issued,5211 KIRKWOOD PL N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,3717 WALLINGFORD AVE N,SEATTLE,98103
Multifamily,New,0,0,185,"625,000",Reviews In Process,821 S WASHINGTON ST,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"3,330",Completed,4002 32nd AVE W,,
Single Family/Duplex,Addition/Alteration,1,0,0,"15,000",Reviews In Process,1917 33RD AVE S,SEATTLE,98144
Single Family/Duplex,,,,,0,Issued,4406 39th AVE SW,,
Institutional,Addition/Alteration,,,,"37,000",Issued,9125 RAINIER AVE S,SEATTLE,98118
Single Family/Duplex,Demolition,,,,"1,000",Ready for Issuance,6549 GREENWOOD AVE N,,
Single Family/Duplex,Addition/Alteration,1,0,0,"8,000",Issued,3246 60TH AVE SW,SEATTLE,98116
Multifamily,New,1,1,8,"1,182,961",Application Completed,8337 12TH AVE NW,SEATTLE,98117
Commercial,Addition/Alteration,,,,"165,000",Issued,4718 41st AVE SW,,
Commercial,Addition/Alteration,,,,"5,000",Reviews In Process,1501 1ST AVE S,SEATTLE,98134
Single Family/Duplex,Addition/Alteration,,,,"123,969",Application Completed,4022 51ST AVE SW,SEATTLE,98116
Industrial,Addition/Alteration,,,,"700,000",Reviews In Process,1100 W EWING ST,SEATTLE,98119
Multifamily,New,,,,"952,433",Reviews In Process,1710 N 47TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,0,"70,000",Issued,1509 4TH AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,0,0,0,"30,000",Reviews In Process,9554 44TH AVE NE,SEATTLE,98115
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"10,000",Ready for Issuance,525 NE NORTHGATE WAY,SEATTLE,98125
Single Family/Duplex,Demolition,,,,"30,000",Completed,7331 39TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"36,400",Reviews In Process,9551 48TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,2,0,0,"30,000",Issued,1010 N 41ST ST,,
Multifamily,Addition/Alteration,2,2,44,"2,000",Application Completed,1820 E JOHN ST,SEATTLE,98112
Multifamily,,0,0,125,"26,000,000",Reviews In Process,14322 32ND AVE NE,SEATTLE,98125
Single Family/Duplex,Demolition,1,1,0,"500,000",Issued,1015 NE 100TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,0,"65,000",Issued,4618 46TH AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"88,000",Issued,411 WHEELER ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"29,280",Issued,13736 23RD AVE NE,SEATTLE,98125
Institutional,Addition/Alteration,,,,"1,200,000",Reviews In Process,159 REPUBLICAN ST,SEATTLE,98109
Single Family/Duplex,New,1,0,2,"272,171",Reviews In Process,9512 EVANSTON AVE N,SEATTLE,98103
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,7504 35TH AVE NE,SEATTLE,98115
Single Family/Duplex,Demolition,,,,"8,000,000",Corrections Required,4303 DAYTON AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"6,240",Issued,5129 17TH AVE S,SEATTLE,98108
Single Family/Duplex,Demolition,1,1,0,"715,000",Awaiting Information,912 NW 56TH ST,SEATTLE,98107
Multifamily,New,,,,"1,113,250",Reviews In Process,3414 CLAREMONT AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"6,000",Issued,2607 2nd AVE N,,
Single Family/Duplex,New,,,,"453,552",Reviews In Process,9416 OLSON PL SW,SEATTLE,98106
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,Addition/Alteration,0,0,0,"45,000",Issued,3412 W MCGRAW ST,SEATTLE,98199
Single Family/Duplex,New,,,,"50,000",Issued,2411 5TH AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,1,0,1,"100,000",Issued,7346 58TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"127,709",Reviews In Process,518 30TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"2,809",Completed,942 16TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"6,000",Completed,7017 11th AVE NW,,
Single Family/Duplex,Addition/Alteration,,,,"52,980",Reviews In Process,5219 S ORCHARD TER,SEATTLE,98118
Multifamily,New,,,,"991,022",Application Completed,940 NW 54TH ST,SEATTLE,98107
Multifamily,New,,,,"1,639,219",Reviews In Process,4011 WALLINGFORD AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,6103 S NORFOLK ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,1,0,0,"30,000",Issued,4002 W PROSPER ST,SEATTLE,98199
Multifamily,New,,,,"404,449",Application Completed,619 MALDEN AVE E,SEATTLE,98112
Commercial,Addition/Alteration,,,,"250,000",Awaiting Information,1830 MINOR AVE,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Corrections Required,7324 51ST AVE NE,SEATTLE,98115
